entity_type,name,freq
技术问题,治疗脑疾病,17
技术问题,增强正常健康大脑的神经功能,14
技术问题,控制感觉功能,14
技术问题,治疗脑损伤,11
技术问题,评估认知功能,11
技术问题,识别用于感测脑信号的一个或多个电极组合,10
技术问题,修改vr环境中内容的参数,10
技术问题,负面情绪状态,10
技术问题,实现患者神经功能持久改变,9
技术问题,治疗脑障碍,9
技术问题,治疗神经疾病,8
技术问题,药物难治性癫痫,8
技术问题,停止神经事件,8
技术问题,解码神经活动,8
技术问题,跟踪视觉注意力,8
技术问题,提供交互式介导现实环境,8
技术问题,控制或管理用户的状态,8
技术问题,抑制心理物理副作用,7
技术问题,提高信号采集质量,7
技术问题,识别图像中的目标,7
技术问题,确定用户状态,7
技术问题,提供更安全的网络安全功能,7
技术问题,调节用户精神状态,7
技术问题,终止癫痫样活动,6
技术问题,与受试者神经系统接口,6
技术问题,增强脑的各种结构中的迷走神经诱发电位,6
技术问题,跟踪视觉注意,6
技术问题,提供用户认证工具,6
技术问题,提高交互的真实性,6
技术问题,降低功耗,5
技术问题,改变神经系统的神经元活性,5
技术问题,神经靶的高度定位和有效的电刺激,5
技术问题,同时提供训练和神经刺激,5
技术问题,治疗神经系统疾病,5
技术问题,检测图像中目标的存在,5
技术问题,估计显示器上的位置,5
技术问题,提高神经信号与引起这些信号的对象关联的确定性,5
技术问题,增加与传统和新媒体内容的互动,5
技术问题,简化数字和物理环境中与输入设备的交互,5
技术问题,评估产品配方,5
技术问题,定制产品配方,5
技术问题,基于意图操纵虚拟对象,5
技术问题,提高情绪识别的准确性,5
技术问题,确定用户选择了哪个选项,5
技术问题,降低诱导侧枝神经活性的可能性,4
技术问题,恢复或修复脑功能,4
技术问题,运动障碍,4
技术问题,识别易感性到异常的神经活性,4
技术问题,使异常同步的脑电活动不同步,4
技术问题,降低癫痫发作或其它不希望的神经病学情况的可能性,4
技术问题,病理同步和振荡神经活性,4
技术问题,治疗疼痛,4
技术问题,改善认知功能,4
技术问题,微创植入,4
技术问题,"压力过小会导致电阻增加,同时电场分散",4
技术问题,压力过大可能会阻塞血流,4
技术问题,增强神经刺激功效,4
技术问题,诊断和治疗神经疾病和病症,4
技术问题,产生治疗效果,4
技术问题,调节脑血流以治疗癫痫和其它神经障碍,4
技术问题,识别治疗频率,4
技术问题,确定营销和娱乐刺激的有效性,4
技术问题,减少干扰性布线,4
技术问题,中风康复,4
技术问题,评估消费者体验,4
技术问题,基于思维操纵虚拟对象,4
技术问题,维持用户积极状态,4
技术问题,确定人的感觉能力,4
技术问题,训练图像分类神经网络,4
技术问题,评估注意缺陷,4
技术问题,确定触觉效果,4
技术问题,促进用户认知状态,4
技术问题,增强或影响神经刺激效率和/或功效,3
技术问题,选择神经调节参数,3
技术问题,控制神经状态,3
技术问题,自动优化刺激参数和电极配置,3
技术问题,提供高局部和高效的电刺激的神经目标,3
技术问题,识别用于感测脑信号的电极组合,3
技术问题,治疗运动障碍,3
技术问题,优化刺激参数,3
技术问题,安全性高,3
技术问题,施加电刺激,3
技术问题,增强病症的症状缓解,3
技术问题,监测大脑中对刺激响应的神经活动,3
技术问题,无电池,3
技术问题,增强各种疗法的疗效,3
技术问题,产生刺激参数,3
技术问题,药物顽固性癫痫,3
技术问题,提高信噪比,3
技术问题,减少耳蜗损伤,3
技术问题,保护残余螺旋神经节,3
技术问题,实现安全、稳定、长效的引导神经定向生长,3
技术问题,提升听觉脑机接口的使用效果,3
技术问题,选择性,3
技术问题,如何通过颅骨/脑界面诱导神经调节,3
技术问题,电极相对于神经通路的运动引起的反馈环路增益的变化,3
技术问题,诱导神经刺激源,3
技术问题,调节与情绪障碍症状相关的区域的神经元活性,3
技术问题,感测哺乳动物大脑的电信号并电刺激大脑的一个或多个区域,3
