entity_type,alias,canonical,freq
应用场景,3d pc或控制台游戏,3d pc或控制台游戏,2
应用场景,3d vr脑疾病治疗,3d vr脑疾病治疗,1
应用场景,adhd,adhd,1
应用场景,adhd诊断,诊断神经障碍,1
应用场景,als患者,als患者,1
应用场景,alzzimer型痴呆治疗,痴呆治疗,1
应用场景,ar头戴式设备,头戴设备,1
应用场景,ar智能眼镜进行产品兴趣分析和广告的精准智能推送,ar智能眼镜进行产品兴趣分析和广告的精准智能推送,1
应用场景,cff测量技术领域,cff测量技术领域,2
应用场景,cns疾病治疗响应预测,cns疾病治疗响应预测,2
应用场景,copd,copd,2
应用场景,dbs,深部脑刺激,1
应用场景,doc患者类型区分,doc患者类型区分,1
应用场景,eeg,脑电信号,1
应用场景,eeg传感,eeg传感,1
应用场景,eeg信号解码技术领域,eeg信号解码技术领域,1
应用场景,eeg分析,脑电波图异常检测,1
应用场景,eeg分析系统,eeg分析系统,1
应用场景,eeg测量,eeg测量,1
应用场景,eeg电极定位头戴式装置,脑电电极定位,1
应用场景,eeg监测,脑电监测,1
应用场景,eeg监测设备,eeg监测设备,1
应用场景,eeg神经反馈,脑电特征提取,2
应用场景,eeg系统,脑电监测,1
应用场景,eeg识别系统,脑电信号识别,2
应用场景,eeg运动想象领域,运动想象分类技术领域,1
应用场景,fgid,fgid,1
应用场景,fmri,fmri,1
应用场景,fmri图像采集同时采集脑电信号,fmri图像采集同时采集脑电信号,1
应用场景,fmri拍摄,fmri,1
应用场景,fmri视觉重构,fmri,1
应用场景,hmd头戴设备,hmd头戴设备,1
应用场景,mci,mci,2
应用场景,mi-eeg特征提取,脑电特征提取,2
应用场景,mri环境,mri环境,3
应用场景,neurocognitive测试,精神行为属性识别,1
应用场景,rc汽车模型,rc汽车模型,1
应用场景,ten,ten,1
应用场景,tms治疗评估,tms治疗评估,1
应用场景,v-bci实际应用场景,v-bci实际应用场景,1
应用场景,vr游戏,vr游戏,1
应用场景,vr环境,虚拟现实交互,4
应用场景,vr类自然环境状态调控,环境调控,1
应用场景,vr购物,vr购物,1
应用场景,web可视化平台,web可视化平台,1
应用场景,一般问询互动类应用场景,一般问询互动类应用场景,1
应用场景,三-维感知能力训练,视觉训练,1
应用场景,上肢功能恢复,上肢功能恢复,1
应用场景,上肢动态康复,上肢功能恢复,1
应用场景,上肢运动功能康复,上肢运动功能康复,1
应用场景,下一代无线网络,下一代无线网络,1
应用场景,下肢康复系统,下肢康复系统,1
应用场景,不同场景下的脑电信号采集,不同场景下采集脑电信号,1
应用场景,不同场景下采集脑电信号,不同场景下采集脑电信号,1
应用场景,不同复杂程度的任务执行,对象的有义估计客观条件,1
应用场景,不省人事,老年性痴呆,3
应用场景,与人工视觉系统、可穿戴设备或其它外部设备进行通讯,与人工视觉系统、可穿戴设备或其它外部设备进行通讯,1
应用场景,与患者的电可激组织相互作用,电刺激施加,1
应用场景,与现有播放器结合,与现有播放器结合,1
应用场景,专业培训,人机交互训练,1
应用场景,个人传达信息,个人传达信息,1
应用场景,个人助听器,个人助听器,1
应用场景,个人呈现信息评估,个人呈现信息评估,1
应用场景,个人生活,个人生活,1
应用场景,个人知识检测,个人知识检测,1
应用场景,个人计算机,个人计算机,1
应用场景,个人计算设备,个人计算设备,2
应用场景,个人设备使用监测,个人设备使用监测,1
应用场景,个体化、多疗程的神经调控训练,个体筛选,1
应用场景,个体化神经调控,个体化神经调控,1
应用场景,个体差异,个体差异,1
应用场景,个体用户情感分析,个体用户情感分析,1
应用场景,个体用户的特定情感分析,个体用户情感分析,1
应用场景,个体筛选,个体筛选,1
应用场景,个性化人机界面,个性化人机界面,1
应用场景,个性化内容推荐,个性化内容推荐,1
应用场景,个性化学习,个体差异,2
应用场景,个性化建筑物环境,个性化推送,1
应用场景,个性化愈合,个性化愈合,1
应用场景,个性化推送,个性化推送,1
应用场景,个性化教育系统,个性化推送,1
应用场景,个性化数据教育,个性化数据教育,1
应用场景,个性化数据教育系统,个性化数据教育系统,1
应用场景,个性化环境呈现,个性化环境呈现,1
应用场景,个性化脑机接口(bci)治疗,个性化脑机接口(bci)治疗,1
应用场景,个性化脑部疾病的诊断和状态确定,个性化脑部疾病的诊断和状态确定,1
应用场景,个性化认知状态估计,认知障碍改善,1
应用场景,个性化音乐推送,个性化推送,1
应用场景,中医诊疗,中医诊疗,1
应用场景,中枢神经系统,中枢神经系统,10
应用场景,中枢神经系统其他疾病和障碍患者康复期间,中枢神经系统疾病康复,1
应用场景,中枢神经系统刺激,神经刺激系统,1
应用场景,中枢神经系统电刺激,中枢神经系统电刺激,1
应用场景,中枢神经系统疾病康复,中枢神经系统疾病康复,1
应用场景,中枢神经系统疾病治疗,神经病症的治疗和诊断,1
应用场景,中枢神经系统疾病的治疗,中枢神经系统疾病的治疗,1
应用场景,中枢神经系统药物研究,中枢神经系统药物研究,1
应用场景,中风,中风,11
应用场景,中风受试者的运动皮层,中风受试者的运动皮层,1
应用场景,中风后偏瘫患者康复训练,中风后偏瘫患者康复训练,2
应用场景,中风后患者各个阶段运动康复期间,脑卒中康复,1
应用场景,中风后的偏瘫患者康复训练,中风后的偏瘫患者康复训练,1
应用场景,中风和中枢神经系统的其它疾病和障碍的早期和晚期康复期间,脑卒中康复,1
应用场景,中风康复,中风康复,6
应用场景,中风康复训练,康复训练,1
应用场景,中风患者治疗,中风患者治疗,1
应用场景,中风患者的康复,中风患者的康复,1
应用场景,临床,医疗,2
应用场景,临床使用,临床使用,1
应用场景,临床医生,临床医生,1
应用场景,临床医生确诊,临床医生确诊,1
应用场景,临床医生辅助,临床医生辅助,1
应用场景,临床和研究睡眠研究,睡眠研究,1
