主题码,主题名,成员标签数,成员标签
C0,脑电情绪识别分析,90,脑电频域分析刺激、脑肌电耦合分析、脑电伪迹抑制分析、脑电情绪分类迁移学习、康复训练脑肌耦合分析、脑电分类电刺激控制、脑疾病分类诊断辅助、对比学习情绪识别、脑电情绪识别对比学习、脑疾病深度学习分类、脑疾病深度学习筛查、脑电干扰去除分类、脑电信号实时分类、脑电频带图像分析、脑电时空判别分类、脑电时空加权分类、脑电降维判别分析、脑电情绪识别解锁、脑电视频伪差分析、小波神经网络脑电分析、脑电情感识别、脑电信号对抗分类、脑电情感识别方法、脑电图像康复分类、脑电视频同步监控、群体脑电数据分析、脑电信号分类训练、脑电信号分类算法、脑电神经反应数据处理、脑电波模式分析、脑电情绪识别交互、联邦脑电分类模型、脑电分类神经接口系统、脑电血氧融合识别、脑电血氧融合分类、脑电多特征分析通信、脑电情感识别算法、脑电相位幅度耦合分析、脑电视觉分类模型、小波变换脑网络分析、脑电视频情感分类融合、实时多模态情绪识别、情绪脑电深度学习分类、脑电性别情绪分析、脑电熵特征情感识别、情绪刺激脑电读取、情绪脑电视频推荐、脑电瞳孔融合分类、脑电心率情绪分析、情绪脑电深度学习识别、脑电通道特征情绪分类、脑电情绪识别分析、脑节律熵分析、脑电对比学习指令分类、脑电模式分类与去噪、脑电频带情感分析、脑电情绪识别算法、脑电动态分类控制、脑电伪影去除算法、脑电分类器检测、脑电信号分类识别、脑电评估一致性分析、脑电眼球情绪识别、脑电视觉解码模型、脑电时空特征分类、脑电信号分类网络、脑磁图同步指数分类、脑电频谱分段分析、脑电个性化推荐、脑电语音指令识别、脑电伪迹自适应消除、立体定向脑电可视化分析、立体定向脑电时频分析、情绪ERP脑网络分析、脑电判别分析辅助、情绪调节脑电训练、情绪反应脑电分析、脑电磁共振同步分析、媒体图像情绪脑电分析、单通道脑电情感识别、脑电凝视偏好分析、脑电深层激活分析、脑电动作意图预测、脑电语音分类处理、脑电语音倒谱匹配、边缘区域激活脑电分析、脑电信号分类模型、脑电信号伪迹去除、脑电对称性分析、脑电波形自动分析
C1,脑电特征提取分类,29,运动想象脑电分类、脑电时隙特征提取、脑电运动方向预测、脑电频域特征提取、耳脑电特征提取、脑电运动图像分类、鲁棒CSP脑电特征提取、运动想象脑电输入、运动图像分类算法、脑电特征提取分析、脑电时频嵌入生成、脑电运动意图识别、运动想象脑网络特征提取、运动图像EEG分类、脑电图像特征提取、脑电特征点PSO识别、运动想象脑机接口装置、脑电预测头部运动传输、运动想象脑机接口、耳塞式EEG监测、运动想象脑机接口范式、脑电特征调制解码、脑电运动分类训练、脑电特征可视化报告、脑电特征服务响应、脑电特征方差分析、脑电特征提取与反馈、脑电特征提取算法、运动想象分类方法
C2,柔性电极采集装置,103,柔性皮层电极接口、介入式电极植入、电极阻抗控制、植入电极靶点定位、电极取向定位装置、电脉冲反馈耦合装置、电极加工制备方法、电化学腐蚀电极制备、柔性碳纳米管电极、3D堆叠柔性电极、序贯释药听觉电极、侵入式脑机接口信号处理、头皮电生理刺激采集、柔性电极制造工艺、柔性碳纳米管电极阵列、柔性微丝电极阵列封装、定向冷冻相分离电极制备、尿嘧啶接枝电极绝缘涂层、电极触点材料优化、电镀脉冲电极维护、石墨烯电极闭环接口、神经接口电极连接、硬膜下电极连接、层叠电极触点装置、电极控制电场配置、血管内电极递送、电药物刺激脑电分析、电极配合评估方法、柔性电极阵列制造、植入电极癫痫预测、电极固定与连接结构、神经接口电总线集成、神经接口植入优化、神经接口皮层映射、神经接口放置优化、三维多位点电极记录、三维电极脑状态监测、自膨胀电极血管内采集、生物电极连接结构、侵入式电极信号采集、柔性光纤深部电极、电极层锚定结构制造、血管纳米电极接口、爪式电极穿透头发、梳式干电极头皮接触、头皮脑电采集、导电纳米干电极制备、柔性干电极采集系统、电极定位电磁屏蔽、柔性导电橡胶电极、电极皮肤接触测量、丝蛋白水凝胶电极、电极阵列连接结构、干电极固定与信号传输、旋转固定干电极传感器、旋转弹性干电极接触装置、导电织物弹性电极贴附、头皮接触毛发处理、脑电电极接触装置、柔性电极保护装置、干电极法拉第笼结构、柔性导电涂层电极、头皮适配脑电电极、柔性脑电电极、干电极接触稳定装置、柔性脑电电极头戴装置、头套式脑电测量装置、多通道脑电采集头套、脑电电极接触质量检测、导电凝胶电极采集、头皮接触电极装置、接触电极倾斜调节装置、脑电电极传输装置、EEG电极定位安置、小电极组EEG成像、头皮电极定位标记装置、柔性干电极脑电采集、柔性复合电极制备、柔性网状脑电极、干电极接触结构、干电极阻抗监测调整、干湿混合电极导电膏输运、旋转球体导电凝胶电极、干式EEG电极结构、干式脑电电极结构、柔性网状脑电电极、干电极接触调节、电极锚定电解液设计、干电极接触调节装置、脑电电极阻抗检测、电解质电极信号采集、柔性EEG帽结构、头戴式脑电测量装置、干电极脑电帽、电极定位固定装置、电极定位系统、电极阵列脑电记录、干电极接触检测、头皮电极定位装置、皮肤接触电极固定、脑电电极自动定位、疲劳脑电通道选择、脑电用户自动识别
C3,脑电状态检测评估,56,点处理模型刺激预测、神经反应阈值自动检测、脑电认知状态分类、脑状态精神测试、视觉记忆脑电检测、新生儿脑电多模型预测、脑电反应模型评估、脑电心理健康评估、脑电心理活动检测、脑电心理生理评估、脑电认知效应评估、脑电集中指数测量、TMS疗效预测模型、默认态脑网络中心检测、新生儿癫痫脑电检测、精神状态监测解码、脑电认知负载评估、脑电认知活动检测、脑电源估计反问题算法、脑电α节律刺激系统、脑电异常自动检测、脑电信号人识别、神经反应诊断分析、脑电三维图状态评估、脑电响应模型估计、脑疾病治疗响应预测模型、脑电人检测、脑电认知性能测试、脑电三维图分析、脑电信号测量控制、脑电负荷检测模型、脑电培训状态监测、认知负荷脑电分析、听性脑干反应检测、认知负荷脑电分类、认知障碍预测模型、脑电焦虑预测模型、脑电抑郁预测模型、脑电抑郁风险识别、脑电信号压力检测、脑电单事件检测、药物脑电效应检测、脑电认知负荷监测、认知负荷测谎ERP范式、精神状态脑电评估、摩尔斯电码脑电评估、脑电心电功能监测、麻醉状态监测分析、脑电生物事件预测、神经反应临床诊断、脑电状态信息递送、微状态脑功能网络、微状态脑网络构建、脑电信号频带处理、脑电状态分类方法、脑电状态分类特征优化
C4,神经刺激调控系统,86,高频振荡刺激检测、外部设备神经刺激、个性化非侵入刺激、视觉反馈功能电刺激、刺激诱发神经反应监测、磁刺激感官组合治疗、诱发反应脉冲刺激控制、高频振荡检测刺激、刺激伪影抑制、实时反馈脑电刺激控制、可收缩皮层刺激装置、肌电反馈电刺激康复、非侵入感觉刺激认知、体外刺激信号控制、交互神经刺激控制、非侵入神经刺激校准、电刺激运动检测生物反馈、电生理信号刺激检测、癫痫刺激响应调控、皮层电刺激神经调控、植入物免疫排斥抑制、刺激计划图形控制、体感皮层刺激调节、生物电刺激治疗递送、实时电刺激控制算法、实时电刺激运动控制、磁光联合脑刺激、皮层刺激调节、交互式神经调节、皮质刺激运动障碍治疗、感觉运动障碍康复刺激、预定刺激治疗响应、个性化TMS刺激治疗、位点特异性记忆刺激、刺激感测电源控制、迟发响应刺激监测、AI电生理刺激植入物、刺激响应脑电波调制、磁场感应脑刺激、磁场脑功能增强、实时神经影像电刺激调控、异常信号检测刺激、癫痫刺激参数导出、植入电极性能优化、癫痫刺激模式调控、实时自动控制算法、皮层电刺激治疗、实时神经刺激干预、刺激伪迹滤除处理、响应性脑刺激装置、癫痫响应性电刺激、感觉反馈康复刺激、电磁治疗参数生成、硬膜外电刺激运动恢复、动态电流分配刺激、闭环电刺激伪影去除、微电极刺激电流控制、癫痫病灶电刺激治疗、幻肢痛实时反馈治疗、脑电反馈幻肢痛治疗、位置感知刺激评估、刺激响应脑波检测、磁刺激脑电评估、电磁治疗参数识别、刺激反馈实时调节、诱发响应电位检测、生物反馈感官刺激调节、脑电反馈视频游戏训练、诱发电位识别、刺激锁定EEG检测、刺激生物反应验证、刺激响应认知情感分类、刷状EEG电极装置、个性化ABM治疗监测、幻肢VR康复运动识别、幻肢VR运动模式选择、刺激阈值响应分析、刺激锁定EEG诱发检测、刺激同步信号处理、声音刺激幻听检测、感知康复电刺激传输、生物信号感官刺激护理、刺激认知响应监测、肌电眼电混合输入、肌电眼电混合按键、TMS伪影去除
C5,眼动脑电视觉分析,39,多视图眼动解码、脑电眼动产品评估、脑电眼动决策分析、情绪广告匹配投放、脑电广告认知评估、脑电广告评估分析、广告三维交互展示、脑电眼动广告推送、眼动脑电融合定位、脑电广告评测模型、脑电视觉目标选择、脑电眼动融合智能导航、脑电眼动鼠标交互控制、脑波广告推送交互、眼动脑电位置估计、眼动脑电市场分析、医学图像眼动脑电分析、RSVP目标检测脑电、广告时隙匹配评估、脑电眼动营销评估、广告脑电评估方法、脑电眼动广告评估、脑电眼动注意力评估、脑电广告时段选择、相位振幅耦合测量、脑电注视目标预测、眼动光标控制装置、脑电视觉类别重建、脑电视觉重建方法、脑电广告监测、脑波状态内容推荐、脑电眼动诊断任务调整、脑电眼动认知筛查、脑波手势交互内容推荐、脑电眼动决策推荐、脑电眼动联合决策、脑电接口位置估计、眼动脑电联合识别、眼动脑电神经网络
C6,电极阵列植入制造,61,柔性电极阵列植入装置、皮层电极植入刺激记录、皮层电极微调装置、模块化微电极阵列、微电极阵列设计制造、微电极阵列制造技术、柔性电极微创植入、细长探针微电极阵列装置、三维电极探针组装、复合电极阵列制备、植入电极阵列制备、气动式电极植入、薄膜电极阵列制造、机械引导微创植入、微针阵列电极植入、微电极阵列低功耗采样、神经元电互连微电极阵列、柔性电极阵列植入优化、关节电极组件植入、神经电极阵列植入方法、气动式电极植入装置、导丝引导微创电极植入、微装置神经信号接口、显微制造神经电极、复合刺激波形滤波、透明电极阵列设计、宏微电极植入记录、植入式电极阵列制造、植入式微电极涂层、植入式电极贴附结构、薄膜电极引线固定、植入式微电极刺激采集、颅内电极阵列植入、共形电极电刺激、植入设备无线通信、无线植入电极装置、无线植入式神经装置、绝缘导管电极刺激、皮层电极接触检测、可植入电极结构设计、立体脑电电极定位、三维神经接口电极、植入式脑电电极、颅骨钻孔植入装置、注射式植入电极、微加工电极阵列、可植入电极阵列、电极阵列组装方法、电极阵列组装、微通道电极植入、可植入电极制造、植入式微电极连接、插入器电极阵列连接、辅助针柔性探针植入、慢性植入神经接口、微针电极脑电采集、模块化干电极脑电采集、自适应干电极阵列结构、毛发梳理电极接触、头皮电极阵列设计、神经测试传感器定位
C7,视觉刺激脑电分析,51,视觉刺激注意力测量、神经反应刺激相关性分析、视觉注意神经追踪、视觉刺激脑电相关性分析、神经信号视觉注意力跟踪、视觉刺激免提控制、视觉注意力神经跟踪、驾驶员视觉注意力预测、视觉刺激EEG分类、视觉刺激目标检测、刺激反应统计评估、视觉刺激脑电检测、负面启动注意力检测、视觉刺激脑电注意力跟踪、视觉刺激注意力检测、神经判别视觉注意评估、视觉注意力神经追踪、视觉刺激刷新率评估、视觉刺激脑电评估、脑电视觉刺激评估、神经响应刺激效果分析、视觉刺激脑信号相关性、视觉刺激偏好预测、视觉刺激脑电测量、飞行员注意力双域监测、fMRI刺激评估分析、反应性输出刺激分析、fMRI刺激神经反应、视觉刺激脑电识别、视觉注意力脑电测量、驾驶脑电视觉关联分析、刺激材料注意力分析、视觉刺激目标识别、脑电稳态响应刺激评估、刺激后脑活动预测模型、刺激习惯化分析、神经信号视觉注意追踪、视觉刺激脑电转换、视觉注意力脑电跟踪、视觉刺激脑电反馈、飞行员个性化评估、驾驶注意力阈值判断、驾驶注意量ERP判断、视觉刺激注意力跟踪、视觉刺激脑信号分析、视觉刺激脑电诊断、飞行训练动态评估、刺激材料有效性分析、视觉注意力神经反馈、视觉刺激特征调制、视觉刺激注视追踪
C8,神经刺激监测装置,115,神经刺激阈值确定、大脑刺激神经监测、神经活动监测刺激、双极性神经刺激偏置、植入式神经刺激装置、空间分布刺激阵列、神经调制治疗参数导出、神经刺激参数测定、神经刺激易感性预测、神经刺激阈值预测、神经刺激设置优化、多模式深部脑刺激、认知训练神经治疗递送、刺激响应神经监测、神经兴奋性曲线推导、成对训练神经刺激、神经刺激功效评估、神经状态评估刺激、植入式神经刺激系统、无线神经刺激检测系统、神经刺激响应检测方法、多模式神经刺激治疗、认知增强经颅刺激系统、帕金森病神经刺激治疗、非侵入性神经刺激治疗、神经刺激状态检测、神经响应检测刺激递送系统、无线控制两相刺激装置、成对训练神经刺激治疗、颅内神经刺激感测、神经刺激装置、刺激响应神经活动监测、神经刺激参数治疗、低频电刺激神经治疗、靶向神经刺激治疗、神经记录与刺激反馈、颅骨内植入物感测刺激、脑神经刺激治疗装置、神经活动解码刺激、神经活动触发刺激、突发模式刺激治疗、神经募集估计刺激、认知障碍植入刺激治疗、脑神经电刺激装置、神经刺激定位记录、神经康复信号解码、神经调节刺激反馈、植入式神经调节系统、神经精神刺激治疗、无线神经调制刺激、神经活动检测电刺激、神经活动语音解码算法、无线神经电刺激装置、神经活动解码与刺激、神经刺激感测管理、突发模式神经刺激、配对训练定时刺激、配对训练神经刺激、配对训练刺激治疗、成对训练刺激康复、神经状态转换电刺激、神经功能恢复电刺激、神经可塑性评估刺激、认知障碍刺激评估、训练联合神经刺激、非侵入性神经刺激、神经调节治疗参数导出、神经刺激参数导出、神经刺激集成控制电路、神经调制参数导出、植入式神经刺激网络、非侵入刺激康复训练、亚阈值电场神经调控、神经募集估计探针、神经刺激数据记录、神经行为预测刺激、低频电刺激治疗、脑神经电刺激治疗、低频电刺激神经调控、神经刺激与信号记录、分布式神经刺激系统、神经可塑性评估算法、非侵入神经刺激、神经活动测量刺激系统、分布式神经响应采集、神经刺激学习增强、视觉刺激神经识别、视觉刺激神经响应同步处理、神经刺激脑疾病治疗、神经响应刺激评估、刺激响应数据同步分析、脑神经刺激同步调节、神经响应刺激靶向、视觉刺激神经响应分析、神经刺激响应分析、刺激响应情感认知测量、神经响应刺激映射系统、刺激响应感觉能力评估、视觉刺激神经反应区分、神经刺激数据特征分析、视觉刺激神经响应测量、视觉刺激神经调制测量、刺激反应生物信号分析、神经解码感知反馈刺激、视觉刺激神经响应关联、非侵入脑刺激方案、视觉刺激神经响应、视觉刺激神经响应校准、认知训练电刺激评估、认知训练信号处理、神经刺激共振评估、认知训练刺激适配、视觉刺激神经测量、神经刺激脑电波治疗、视觉刺激神经焦点检测
C9,经颅聚焦刺激装置,49,颅内电极刺激参数控制、颅内电刺激神经调控、经颅聚焦电刺激、饱和传递函数刺激控制、颅内电极接触力调节、颅骨大脑接口系统、双频经颅刺激序列、颅骨信号引导聚焦装置、颅内信号传输装置、颅骨孔电信号传送、颅骨植入神经调节接口、颅脑界面聚焦神经调节、颅骨孔信号引导聚焦、经颅聚焦脑机接口刺激、经颅聚焦脑机接口控制、经颅聚焦脑机接口、颅骨植入连接装置、经颅聚焦刺激调控、颅骨电极植入固定、颅内多模态神经接口、经颅聚焦神经调节、经颅离子传导神经接口、经颅光生物调节、颅骨通道信号引导、颅骨电极植入定位、微创颅内精准刺激、颅骨植入神经接口、经颅电刺激精准调控、颅内电极定位装置、经颅电刺激参数调控、颅内电刺激神经可塑性、颅脑接口刺激控制、经颅电刺激参数反馈、颅孔固定装置、微创脑刺激装置、微创电极阵列植入、经颅交流动态频率刺激、经颅交流闭环刺激、经颅交流物质使用障碍刺激、双阶段经颅电刺激、经颅电刺激脑波重构、颅脑电极固定装置、颅内电极阵列定位、经颈动脉颅内探测、经颅电刺激优化、经颅磁刺激康复方案、颅外电极定位调节、双频脑电刺激评估、经颅电刺激频率优化
